,0,1
0,0.0,0.91
1,0.0,0.02
2,0.0,0.01
3,1.0,1.0
4,1.0,0.8
5,1.0,0.97
6,0.0,0.0
7,0.0,0.02
8,0.0,0.04
9,1.0,1.0
10,1.0,1.0
11,0.0,0.36
12,0.0,0.22
13,0.0,0.07
14,1.0,0.97
15,1.0,1.0
16,1.0,0.03
17,0.0,0.0
18,1.0,1.0
19,0.0,0.12
20,0.0,0.11
21,0.0,0.1
22,0.0,0.01
23,0.0,0.02
24,0.0,0.05
25,1.0,1.0
26,0.0,0.0
27,0.0,0.01
28,1.0,0.92
29,0.0,0.54
30,0.0,0.21
31,1.0,0.8
32,1.0,0.41
33,1.0,0.32
34,1.0,1.0
35,0.0,0.02
36,1.0,0.58
37,0.0,0.17
38,0.0,0.07
39,1.0,0.92
